89,54,88,29,83,66,64,67,62,64,89,64,30,83,29,46,65,46,48,22,47,9,43,65,64,6,28,28,28,75,23,26,45,11,64,4,60,19,39,10,60,13,28,10,26,22,77,64,65,40,23,22,58,46,62,9,3,24,49,25,4,16,20,22,28,6,6,20,64,21,22,4,26,10,9,38,58,58,25,43,3,20,3,48,4,7,20,7,4,60,77,4,4,4,7,22,22,54,3,24,4,4,23,12,64,10,33,64,20,20,20,7,24,4,4,23,5,41,4,6,20,24,29,80,4,10,6,3,7,3,9,39,4,3,7,19,20,6,60,3,6,64,21,23,5,3,39,4,3,6,4,3,20,20,3,4,19,20,2,6,20,4,6,20,23,23,4,20,60,22,4,39,3,3,4,4,4,10,39,21,80,4,43,21,3,3,6,4,24,25,4,9,61,3,45,20,4,4,4,8,4,4,20,19,20,4,4,4,4,20,7,37,19,7,20,39,10,6,20,25,21,4,20,20,19,4,23,4,20,23,7,4,20,39,24,4,2,4,7,3,28,10,67,48,26,4,3,5,47,4,63,22,3,26,22,2,6,3,64,4,7,20,3,4,3,6,3,20,4,23,3,3,11,20,49,4,4,18,3,3,20,39,9,3,4,4,20,5,21,7,4,20,4,10,4,3,7,64,4,4
169,156,160,63,161,166,161,153,161,164,118,169,63,154,60,159,161,159,144,55,52,5,55,129,164,0,58,58,52,160,57,5,143,2,155,0,161,54,146,2,153,4,51,2,55,57,150,158,152,104,56,10,138,143,106,36,0,57,108,2,0,12,0,55,58,0,0,0,152,0,55,0,15,2,2,104,152,152,47,143,0,0,0,106,0,0,0,2,0,109,150,0,3,0,0,50,56,158,0,15,0,0,0,2,153,2,16,160,0,0,47,0,0,0,0,10,0,140,0,0,0,15,2,124,0,2,3,0,0,0,2,104,0,0,0,0,0,0,106,0,1,116,0,56,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,160,56,0,104,0,0,0,0,0,2,104,0,150,0,143,0,3,0,0,0,49,56,0,2,152,0,106,0,0,0,0,2,0,0,0,0,47,0,0,0,0,0,0,149,0,0,34,104,2,0,0,47,0,0,0,0,0,0,47,0,0,0,0,0,0,104,2,0,0,0,0,0,15,2,152,108,2,0,0,0,109,0,158,2,0,2,56,0,0,0,120,0,0,0,0,0,0,0,0,0,34,0,0,0,2,0,142,0,0,1,0,0,3,104,5,0,47,0,0,0,0,0,0,0,0,51,0,3,0,116,0,0
430,405,419,424,424,429,422,312,427,423,63,424,430,312,424,400,418,400,288,394,316,8,423,166,423,1,418,419,315,387,391,34,289,38,311,1,421,385,358,2,313,34,314,2,423,390,279,414,306,1,387,25,250,283,33,281,1,418,34,33,6,142,1,386,419,1,1,1,306,1,386,1,57,33,33,1,274,278,314,290,1,1,1,33,6,1,1,2,1,3,305,1,2,1,1,279,386,381,1,27,1,1,1,33,310,33,62,414,1,1,274,1,1,6,1,24,1,251,1,1,1,27,33,164,1,33,2,1,1,1,32,1,1,1,1,1,1,1,32,1,5,56,1,387,0,1,113,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,391,1,1,417,387,1,1,1,1,1,1,1,33,1,1,305,1,294,1,2,1,1,1,313,386,1,33,310,0,33,0,1,1,1,33,1,1,1,1,274,1,1,1,1,1,1,370,0,1,250,1,33,1,1,309,1,1,1,1,1,1,279,1,1,1,1,1,0,1,32,1,1,1,1,1,61,33,306,33,33,1,1,1,42,1,413,2,1,33,387,1,1,1,62,1,1,1,1,1,1,1,1,1,250,1,1,1,32,1,282,1,1,1,1,1,2,5,33,1,366,1,1,1,1,1,1,1,1,395,1,2,1,56,1,1
125,102,122,102,123,109,96,97,91,105,42,101,98,125,105,96,99,96,98,87,113,12,104,30,99,7,102,102,102,115,97,23,90,8,105,1,89,86,85,11,89,17,102,11,88,96,116,90,99,4,91,6,95,85,26,81,1,86,20,23,2,17,17,96,96,1,1,17,105,17,96,1,17,7,13,10,101,99,87,87,1,17,1,10,2,1,17,11,1,30,105,1,1,1,1,98,96,85,1,22,1,1,17,7,105,13,22,99,17,17,86,1,17,2,1,5,1,95,1,1,17,22,23,30,1,7,1,1,1,1,12,4,1,1,1,23,17,7,31,1,1,14,17,91,0,1,4,1,1,1,1,1,17,17,1,1,17,17,1,1,17,1,1,23,17,91,1,17,89,90,1,10,1,1,1,1,1,7,4,17,105,1,85,17,1,1,1,1,86,90,1,7,92,0,10,16,1,1,1,13,7,1,17,17,86,1,1,1,1,17,1,79,16,1,92,10,7,1,17,86,17,1,17,17,17,1,91,1,17,17,1,1,16,4,22,1,1,1,1,1,27,7,99,19,23,7,1,1,20,1,89,33,1,23,90,1,1,1,24,1,1,17,1,1,1,1,1,17,76,17,1,1,6,17,94,1,1,22,1,7,17,4,6,1,85,1,17,1,17,1,1,17,1,91,1,1,1,14,1,1
50,24,42,48,48,50,42,34,37,48,31,43,43,40,50,19,41,19,10,42,39,6,37,39,42,6,41,48,45,47,46,1,15,2,39,0,36,35,11,5,33,6,44,5,37,46,38,30,32,0,34,24,2,3,1,3,0,31,6,1,1,9,0,46,42,0,0,0,38,0,46,0,31,1,7,6,38,37,34,11,0,0,0,1,1,0,0,5,0,5,27,0,0,0,0,45,40,30,0,35,0,0,0,1,44,7,30,35,0,0,32,0,0,1,0,24,0,13,0,0,0,35,1,28,0,1,0,0,0,0,7,0,0,0,0,6,0,6,7,0,6,25,0,34,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,35,0,0,30,41,0,6,0,0,0,0,0,1,0,0,27,0,10,0,0,0,0,0,33,34,0,1,29,0,1,0,0,0,0,7,6,0,0,0,32,0,0,0,0,0,0,12,0,0,2,6,1,0,0,33,0,0,0,0,0,0,37,0,0,0,0,0,0,0,1,0,0,0,0,0,42,1,32,6,1,6,0,0,13,0,30,11,0,1,41,0,0,0,37,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,8,0,0,7,0,6,0,1,1,0,16,0,0,0,0,0,0,0,0,11,0,0,0,25,0,0
254,252,245,152,247,251,246,220,246,250,108,254,152,221,148,254,247,254,221,141,124,6,143,136,250,0,146,147,124,244,144,7,221,4,223,0,246,139,238,3,221,7,123,3,143,144,216,242,220,101,142,0,213,220,105,116,0,144,108,4,0,32,0,142,147,0,0,0,220,0,142,0,7,4,4,101,217,218,118,220,0,0,0,105,0,0,0,3,0,107,217,0,3,0,0,119,142,239,0,6,0,0,0,4,222,4,9,245,0,0,115,0,0,0,0,0,0,216,0,0,0,6,4,130,0,4,3,0,0,0,4,101,0,0,0,0,0,0,105,0,2,105,0,142,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,244,143,0,101,0,0,0,0,0,4,101,0,217,0,221,0,3,0,0,0,120,142,0,4,218,0,105,0,0,0,0,4,0,0,0,0,115,0,0,0,0,0,0,242,0,0,112,101,4,0,0,118,0,0,0,0,0,0,117,0,0,0,0,0,0,101,4,0,0,0,0,0,9,4,220,108,4,0,0,0,110,0,242,3,0,4,143,0,0,0,111,0,0,0,0,0,0,0,0,0,112,0,0,0,4,0,220,0,0,1,0,0,3,101,7,0,144,0,0,0,0,0,0,0,0,149,0,3,0,105,0,0
205,30,191,201,201,201,198,184,196,201,180,201,200,188,200,29,205,29,16,194,199,6,195,182,201,0,189,200,198,200,199,1,22,2,188,1,196,183,13,5,194,6,198,5,195,199,188,185,188,2,188,173,11,12,3,11,1,184,7,1,0,8,1,199,200,0,1,0,188,1,199,1,173,2,1,2,187,187,193,22,1,1,0,3,1,1,1,5,1,6,183,1,1,1,1,197,188,184,1,178,1,1,1,1,199,2,178,190,0,0,182,1,1,0,1,172,1,15,1,0,0,177,1,176,1,2,0,0,1,0,2,2,1,0,1,0,0,0,2,0,11,174,1,188,1,0,4,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,188,1,1,185,199,1,1,0,1,1,1,1,2,1,1,183,1,22,1,0,0,0,1,193,188,1,2,183,1,3,1,1,1,1,1,1,1,1,0,181,1,1,1,1,0,1,23,0,1,9,1,2,1,0,194,1,1,0,1,0,1,197,1,1,0,1,1,1,1,1,1,0,1,1,0,189,2,188,8,2,1,0,0,18,1,185,5,0,1,199,0,0,0,190,1,1,0,0,1,0,0,0,1,10,0,0,0,2,1,16,1,1,0,0,0,0,1,2,1,27,1,0,0,1,1,1,0,1,17,1,0,1,174,1,1
95,31,26,19,27,92,26,26,26,29,19,95,19,88,78,95,27,95,88,9,15,5,12,23,29,0,14,15,15,24,11,7,25,4,27,0,26,8,20,2,25,6,14,2,12,11,21,24,25,13,10,0,19,26,17,10,0,13,19,4,0,7,0,10,15,0,0,0,25,0,10,0,7,4,4,13,84,22,11,87,0,0,0,17,0,0,0,2,0,18,23,0,3,0,0,73,10,83,0,5,0,0,0,4,26,4,7,26,0,0,9,0,0,0,0,0,0,21,0,0,0,5,4,18,0,4,3,0,0,0,4,13,0,0,0,0,0,0,17,0,1,17,0,10,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,25,11,0,13,0,0,0,0,0,4,13,0,23,0,25,0,3,0,0,0,12,10,0,4,86,0,17,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,22,0,0,6,13,4,0,0,11,0,0,0,0,0,0,9,0,0,0,0,0,0,13,4,0,0,0,0,0,7,4,25,19,4,0,0,0,20,0,24,2,0,4,11,0,0,0,21,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,25,0,0,1,0,0,3,13,7,0,11,0,0,0,0,0,0,0,0,17,0,3,0,17,0,0
156,121,115,13,115,154,116,118,119,112,114,145,10,148,42,145,112,145,156,9,8,6,13,111,112,2,13,13,13,109,11,4,115,6,112,1,115,7,107,4,115,13,13,5,7,10,111,110,112,106,11,1,109,110,109,4,1,10,112,4,4,7,1,10,7,2,2,1,112,1,10,2,3,4,4,106,142,115,12,150,1,2,1,110,3,2,1,4,2,109,110,1,1,2,1,37,10,145,2,10,2,1,2,4,112,4,7,112,2,1,1,1,1,4,1,6,2,110,1,1,1,4,4,108,1,4,1,1,1,2,3,106,2,1,1,1,1,1,108,1,1,108,1,5,0,1,106,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,6,2,1,109,4,2,106,2,2,1,1,2,4,106,1,109,1,111,1,1,1,1,1,10,4,1,4,144,1,109,0,1,1,1,10,1,1,1,2,1,2,2,2,1,1,1,108,0,1,2,106,4,1,1,4,1,1,2,2,2,1,5,1,2,1,1,1,1,106,9,2,1,1,1,1,12,4,112,111,4,1,1,1,119,1,109,4,2,4,4,1,1,1,111,1,1,1,1,1,1,1,2,1,2,2,1,2,3,1,112,1,1,6,1,1,1,107,9,2,4,1,1,2,1,1,1,1,1,7,2,1,1,108,2,2
129,111,86,121,93,127,122,119,112,87,25,72,78,83,92,54,71,54,84,129,71,7,111,34,72,17,113,120,120,86,121,1,103,7,78,1,106,113,61,2,105,35,120,2,77,121,83,64,63,1,98,19,45,44,1,45,1,98,1,1,7,2,1,120,71,2,2,1,77,1,120,1,33,1,16,16,77,112,110,92,1,1,1,1,7,1,1,1,1,0,62,1,1,0,2,85,113,97,1,67,1,1,1,2,85,15,20,63,1,1,78,2,2,7,1,53,2,59,1,2,1,33,1,20,1,1,2,1,1,1,16,1,1,1,2,16,1,17,16,1,10,19,1,64,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,15,2,70,1,1,64,71,1,15,1,0,1,1,1,1,1,0,63,0,59,1,1,1,2,1,105,65,1,1,68,1,1,1,1,1,0,50,16,1,1,0,77,1,1,1,0,1,2,60,1,2,45,15,1,2,0,70,1,1,0,0,1,1,70,1,1,1,2,1,1,0,35,1,1,1,2,1,75,1,63,1,1,16,0,1,48,1,64,16,1,0,71,0,2,1,26,1,2,1,1,1,1,2,1,1,45,1,1,1,2,0,45,1,1,50,1,16,0,7,34,1,55,1,1,2,1,1,1,1,1,46,0,1,2,19,1,1
